슬라이드,제목,화면구성,발표자행동팁,발표자대본,1줄체크포인트
Slide 1,타이틀 (Title),"메인 제목 ""TOURISM ANALYTICS: K-컬처 영향 외래관광객 체재 및 지출 특성 분석""과 핵심 수치 요약(N=30,347, -5.8일, 79.0%) 화면","청중을 부드럽게 둘러보며 인사를 건네고, 명확하고 또박또박한 톤으로 발표를 시작합니다.","안녕하십니까, 『2023년~2025년 외래관광객조사 데이터 기반 K-컬처 영향 분석 및 2026 전략 수립』 발표를 맡은 [이름]입니다. 최근 몇 년 사이 명동이나 홍대, 성수동을 가보면 외국인 관광객들이 정말 많이 늘었다는 걸 체감하실 겁니다. 저희 팀은 지난 3년간 한국을 찾은 여가 관광객 3만여 명(30,347명)의 원시 데이터를 정밀하게 파헤쳐 분석을 진행했습니다.",최근 3개년 3만 명 데이터를 파헤쳐 K-컬처 관광객의 진짜 특징과 2026년 전략을 발표하겠다.
Slide 2,연구 배경 & 목적 (Background & Objectives),"한류/K-Pop, K-뷰티 이미지와 함께 연구 필요성 및 목표 3가지가 표시된 화면",손짓으로 화면을 가리키며 관광 패러다임 변화를 강조합니다.,"과거의 한국 관광은 단순 유적지 탐방이 주를 이뤘으나 최근에는 K-Pop, 성수동 쇼핑, K-뷰티 체험 등 체험형 K-컬처 관광으로 패러다임이 바뀌었습니다. 연구 목적은 체재일수, 지출 특성, 연도별 비중 변화를 파악하여 2026년 타깃 전략을 세우는 것입니다.",K-컬처 영향으로 변화된 외래관광객의 체재·지출 특성을 파악하고 타깃 전략을 세우는 것이 목적이다.
Slide 3,분석 데이터 개요 (Data Overview),"2023, 2024, 2025 데이터셋 수치(총 48,522명 ➔ 표본 30,347명) 및 파이프라인 구조도",신뢰감을 줄 수 있도록 차분하고 신뢰성 있는 목소리로 수치를 정확히 전달합니다.,"2023년, 2024년, 2025년 외래관광객조사 데이터 48,522명 중 여가·휴양 목적 방한객(D_MOK=1) 30,347명을 엄선하여 분석했습니다.","2023~2025년 3개년 여가 관광객 30,347명의 정부 원시 데이터를 표본가중치까지 반영해 분석했다."
Slide 4,타겟 그룹 정의 (Group Definition),'K-컬처 관여군(한류관광객)' vs '일반 관광객' 그룹 구분 기준 및 비율 그래프,양손으로 두 그룹을 대비시키는 동작을 취합니다.,"방문 고려 요인 중 K-Pop, K-드라마, K-뷰티, 쇼핑 등 한류 관련 항목을 선택한 분들을 K-컬처 관여군으로 분류했습니다. 관여군 비율이 41.0%에서 49.8%로 계속 상승하고 있습니다.",한류/K-뷰티/쇼핑을 고려해 온 'K-컬처 관여군'이 전체 여가 관광객의 절반(49.8%)에 달한다.
Slide 5,주요 발견 1 - 체재 기간 분석 (Stay Duration),"체재일수 갭(-5.8일, 34.6일 vs 40.4일) 및 국적별/연령별 그래프",핵심 반전 수치인 '-5.8일'과 '48%'를 말할 때 목소리 톤을 높입니다.,"K-컬처 관광객의 체재 기간은 평균 34.6일로 일반군(40.4일)보다 5.8일 짧습니다. 절반 가량이 1020 청년층(48%)이고 일본(-7.6일), 대만(-6.2일) 등 가까운 국가에서 짧고 알차게 다녀가기 때문입니다.","K-컬처 팬은 1020 청년층(48%)이 주를 이루며, 일본/대만 등 근거리에서 짧고 알차게(-5.8일) 다녀간다."
Slide 6,주요 발견 2 - 지출 및 침투율 분석 (Spend & Trends),3개년 K-컬처 관여 비중(36.3% ➔ 42.5%) 및 1인당 지출액 비교 차트,일일 소비 지출액의 의미를 강조하며 고개를 끄덕입니다.,K-컬처 관여 비중은 36.3%에서 42.5%로 성장했습니다. 머무는 기간이 6일 짧음에도 1인당 총 지출액(37.9만원 vs 38.2만원)은 비슷하여 일일 소비액이 훨씬 높습니다.,"K-컬처 비중은 42.5%로 가파르게 상승 중이며, 머무는 기간 대비 일일 소비 지출액이 매우 높다."
Slide 7,주요 발견 3 - 활동 및 쇼핑 특성 (Activities & Shopping),주요 활동 참여율 79.0% vs 62.7% (+16.3%p) 비교 및 품목별 인포그래픽,"'입고, 바르고, 먹고, 소장하는' 문구를 또박또박 강조합니다.","K-컬처 관광객의 79.0%가 쇼핑, K-뷰티, 미식 활동에 집중 참여합니다. 화장품/향수, 패션 의류, K-Pop 굿즈를 아낌없이 구매하는 적극적 소비층입니다.","K-컬처 관광객의 79%가 쇼핑·뷰티·미식에 집중하며, 화장품/의류/굿즈 소비에 적극적이다."
Slide 8,주요 발견 4 - 만족도 및 충성도 (Satisfaction & Loyalty),"만족도(4.63점 vs 4.50점), 재방문/추천 의향 비교 막대그래프",충성도 높은 결과에 확신에 찬 표정을 지어 보입니다.,"전반적 만족도 4.63점, 타인 추천 의향 4.67점, 재방문 의향 4.63점으로 매우 높은 충성도를 보였습니다.",K-컬처 관광객은 전반적 만족도(4.63점)와 재방문/추천 의향(4.67점)이 매우 높은 '충성 고객'이다.
Slide 9,종합 인사이트 (Comprehensive Insights),3대 핵심 특징 요약 카드 및 챌린지 요약 (짧은 체재기간 보완 필요성),"손가락으로 1, 2, 3을 세며 핵심 포인트를 정리합니다.",핵심 과제는 '젊고 충성도 높은 K-컬처 팬들의 짧은 체재 기간을 늘리고 소비를 극대화하는 것'입니다.,핵심 과제는 짧은 체재기간 보완 및 고밀도 소비 유도이다.
Slide 10,전략적 제언 - 3대 액션 플랜 (Strategic Action Items),"Action 1, Action 2, Action 3 카드 3개로 구성된 전략 제언 화면",목소리에 힘을 주어 해결책을 자신감 있게 발표합니다.,"① 일본/대만 2박3일 초밀도 K-체험 패키지, ② 중국/동남아 K-뷰티+미식 융합 상품, ③ LCC 연계 통합 바우처 제공을 제언합니다.","① 일본/대만 2박3일 밀도높은 K-체험, ② 중국/동남아 뷰티+미식 융합, ③ LCC 연계 통합 바우처 제공."
